id,name,type,location,address,tel,business_area,gcj_x,gcj_y,wgs_x,wgs_y
B0L2V47032,小豹充充汽车充电站(小豹充充苏州金陵南林饭店),汽车服务;充电站;充电站,"120.629520,31.298950",金陵南林饭店地面停车场金陵南林饭店地面停车场(出入口)左转,4008973688,南门,120.62952,31.29895,120.62533773899389,31.301121349829153
B0L2R5N5F7,文旅行-十全街取还车点,汽车服务;汽车服务相关;汽车服务相关|生活服务;生活服务场所;生活服务场所,"120.632575,31.301875",凤凰街与十梓街交叉口东南40米,[],南门,120.632575,31.301875,120.62838908494312,31.304041719116057
B0L02COGZZ,苏州先歌,汽车销售;汽车销售;汽车销售|公司企业;公司;公司,"120.631275,31.302325",十梓街与槐树巷交叉口东北80米,[],双塔,120.631275,31.302325,120.62709054649291,31.304493067750226
B0L3H7AHOC,速章车修(平桥直街店),汽车维修;汽车维修;汽车维修,"120.627278,31.300269",平桥直街与醋库巷交叉口东南20米,[],南门,120.627278,31.300269,120.62309790032683,31.302442201647263
B0K30C1IKG,KYO-MIZU,摩托车服务;摩托车销售;摩托车销售,"120.628312,31.300571",醋库巷与平桥直街交叉口东120米,[],双塔,120.628312,31.300571,120.6241308549654,31.302743013921077
B0FFJCPC8K,杨肉汤,餐饮服务;中餐厅;中餐厅,"120.629286,31.298817",滚绣坊31号,15906258603,南门,120.629286,31.298817,120.62510399620247,31.300988656710988
B0JR99JG04,Khon Ka箜咔,餐饮服务;外国餐厅;韩国料理,"120.630061,31.298838",十全街680号,18962261779,南门,120.630061,31.298838,120.62587817008735,31.301008797331754
B0GUAM9RCX,春喜私厨,餐饮服务;餐饮相关场所;餐饮相关,"120.629859,31.298854",滚绣坊23号,13771942976,南门,120.629859,31.298854,120.6256763859821,31.301025014848296
B0FFFHAEC9,Garybee69深夜食堂,餐饮服务;餐饮相关场所;餐饮相关,"120.629983,31.298861",滚绣坊19号(近金陵南林饭店),13912777465,南门,120.629983,31.298861,120.62580025227538,31.30103187490731
B0IKSHZOJE,犀牛家洋食(南林苑店),餐饮服务;中餐厅;中餐厅,"120.629207,31.298686",双塔街道南平巷5号南林苑,15995586774,南门,120.629207,31.298686,120.62502508955255,31.30085779357524
B0FFKV3F6F,红楼果汁铺,餐饮服务;冷饮店;冷饮店,"120.629790,31.298704",十全街698号,0512-65582196;15062367610;15255041330,南门,120.62979,31.298704,120.62560747202004,31.300875149622296
